067290.KQ	JW Shinyak Corporation
126600.KQ	KOPLA CO.,LTD.
122870.KQ	YG Entertainment Inc.
088290.KQ	Ewon Comfortech Co. Ltd.
069510.KQ	ESTec Corporation
057880.KQ	Topfield Co., Ltd.
037460.KQ	Samji Electronics Co., Ltd.
036540.KQ	SFA Semicon Co., Ltd.
032500.KQ	Kmw Inc.
950130.KQ	Access Bio, Inc.
222800.KQ	SIMMTECH
171120.KQ	Lion Chemtech Co., Ltd.
150840.KQ	IntroMedic Co., Ltd.
143240.KQ	SaraminHR Co.,LTD
141080.KQ	LegoChem Biosciences, Inc.
121890.KQ	SD System Co., Ltd.
121800.KQ	Seven Star Works Co., Ltd.
121440.KQ	Golfzonyouwonholdings Co., Ltd.
104830.KQ	Wonik Materials Co., Ltd.
104200.KQ	Bugs Corporation
102210.KQ	Haeduk Powerway Co., Ltd.
101240.KQ	CQV Co., Ltd.
099440.KQ	SMEC Co., Ltd.
099190.KQ	i-SENS, Inc.
098660.KQ	STO Co., Ltd.
097780.KQ	SMAC Co.,Ltd.
093920.KQ	SEOWONINTECH Co. LTD
091440.KQ	Telefield Inc.
090730.KQ	SIMPAC METALLOY Co., Ltd.
090460.KQ	BH Co.,Ltd.
089010.KQ	Chemtronics Co., Ltd.
085660.KQ	CHA Biotech Co., Ltd.
083650.KQ	BHI Co., Ltd.
083470.KQ	K.J. Pretech Co. Ltd.
081580.KQ	Sungwoo Electronics Co., Ltd.
081150.KQ	Tplex Co., Ltd.
080420.KQ	InnoChips Technology Co., Ltd.
080000.KQ	Snu Precision Co Ltd
079950.KQ	INVENIA Co., Ltd.
078130.KQ	Kukil Paper Mfg. Co.,Ltd.
078020.KQ	EBEST Investment & Securities Co., Ltd.
068930.KQ	Digital Daesung Co., Ltd.
068790.KQ	DMS Co., Ltd.
068760.KQ	Celltrion Pharm Inc.
068270.KQ	Celltrion, Inc.
068050.KQ	Pan Entertainment Co Ltd
067000.KQ	JoyCity Corporation
065940.KQ	KSCB Co.,Ltd.
065680.KQ	UJU Electronics Co., Ltd.
065510.KQ	Huvitz Co. Ltd.
060720.KQ	KHVATEC Co., Ltd.
060590.KQ	CTCBIO., Inc.
060540.KQ	System and Application Technologies Co., Ltd.
060230.KQ	exax Inc.
058820.KQ	CMG Pharmaceutical CO.,LTD.
058630.KQ	Mgame Corp.
057030.KQ	YBM Net, Inc.
056190.KQ	SFA Engineering Corporation
056000.KQ	Cowon Systems, Inc.
054800.KQ	IDIS Holdings Co., Ltd.
054540.KQ	Samyoung M-Tek Co. Ltd.
054090.KQ	Samjin LND Co., Ltd.
053160.KQ	FreeMs Corporation
052300.KQ	SH Holdings Co., Ltd.
051370.KQ	Interflex Co., Ltd.
049120.KQ	Fine DNC Co. Ltd.
048550.KQ	SM Culture & Contents Co., Ltd.
046440.KQ	KGMobilians Co., Ltd.
045890.KQ	Dongbu Lightec Co., Ltd.
044960.KQ	Eagle Veterinary Technology Co. Ltd.
044490.KQ	Taewoong Co. Ltd.
044340.KQ	Winix Inc.
043610.KQ	KT Music Corporation
041510.KQ	S.M. Entertainment Co., Ltd.
041460.KQ	Korea Electronic Certification Authority, Inc.
041020.KQ	Infraware, Inc.
040610.KQ	SG&G Corporation
039030.KQ	EO Technics Co., Ltd.
038880.KQ	iA, Inc.
038620.KQ	Wiz Information Technology Co., Ltd.
038060.KQ	Lumens Co., Ltd.
038010.KQ	Jeil Technos Co. Ltd.
037370.KQ	EG Corporation
036830.KQ	Soulbrain Co.,Ltd.
036710.KQ	Simmtech Holdings Co., Ltd.
036670.KQ	KCI Limited
036220.KQ	Infopia Co., Ltd.
036190.KQ	Geumhwa Plant Service & Construction Co., Ltd.
036010.KQ	ABCO Electronics Co., Ltd.
035900.KQ	JYP Entertainment Corporation
035610.KQ	Solborn, Inc.
034940.KQ	ChoA Pharmaceutical Co. Ltd.
032800.KQ	Fantagio Corp.
031860.KQ	A-motion Co., Ltd.
030530.KQ	Wonik Holdings Co., Ltd.
026040.KQ	Romanson Co., Ltd.
025270.KQ	Busan Textile Co. Ltd.
024840.KQ	KB Metal Co., Ltd.
023460.KQ	CNH Co., Ltd.
022100.KQ	Posco ICT Company Ltd.
016600.KQ	Q Capital Partners Co., Ltd.
013120.KQ	Dong Won Development Co., Ltd.
012620.KQ	Wonil Special Steel Co. Ltd.
011560.KQ	Sebo Manufacturing Engineering Corp.
010280.KQ	Ssangyong Information & Communications Corp.
009620.KQ	Sambo Industrial Co., Ltd.
007770.KQ	Hanil Chemical Industrial Co. Ltd.
006910.KQ	Bosung Power Technology Co., Ltd.
003800.KQ	Ace Bed Co., Ltd.
014200.KQ	KANGLIM Co., Ltd.
136540.KQ	WINS Co.,LTD
092040.KQ	Amicogen,Inc.
083660.KQ	CSA Cosmic Co., Ltd.
033130.KQ	Digital Chosun Inc.
093190.KQ	Bixolon Co., Ltd
068060.KQ	KCW Corporation Co.Ltd.
059100.KQ	i-Components Co.,Ltd.
025880.KQ	KC Feed Co., Ltd.
226440.KQ	DONGBU SPAC III
200710.KQ	ADTechnology
054210.KQ	Elentec Co., Ltd.
033100.KQ	Cheryong Electric Co.,Ltd.
106240.KQ	Finetechnix Co.,Ltd.
025770.KQ	Korea Information & Communications Co., Ltd.
024830.KQ	Sewon Corporation
038070.KQ	Seoulinbioscience Co. Ltd.
025900.KQ	Dongwha Enterprise Co., Ltd.
013720.KQ	Cheong Bo Industrial Co., Ltd.
087220.KQ	Steel Flower Co.,Ltd.
021045.KQ	DaeHo P&C Co.,Ltd.
023600.KQ	Sambo Corrugated Board Co., Ltd.
232140.KQ	YIKC
045100.KQ	Hanyang ENG Co., Ltd.
066700.KQ	Theragen Etex Co.,Ltd.
015750.KQ	Sungwoo Hitech Co., Ltd.
217620.KQ	Hanwha ACPC SPAC
056090.KQ	U&I
039020.KQ	EAGON Windows & Doors Co., Ltd.
048870.KQ	Core Logic Inc.
082210.KQ	Optrontec Inc.
115180.KQ	Qurient
101170.KQ	Woorim Machinery Co., Ltd.
097800.KQ	WINPAC Inc.
046970.KQ	WOORIRO Co., Ltd.
215360.KQ	W.I.C
115440.KQ	Woori-Net Inc.
205100.KQ	XM
193250.KQ	YJM Games
122640.KQ	YEST
219960.KQ	Yuanta 2 SPAC
115960.KQ	YONWOO
138360.KQ	ACT Co., Ltd.
215090.KQ	Eugene ACPC SPAC2
235010.KQ	HI AI 1 SPAC
196170.KQ	Alteogen
117670.KQ	Alphachips Inc.
123750.KQ	Alton Sports Co., Ltd.
065660.KQ	ANTEROGEN
121600.KQ	ANP
094170.KQ	DONGWOON ANATECH
211270.KQ	APSI
054620.KQ	Advanced Process Systems Corporation
127710.KQ	ASIA BUSINESS DAILY
067390.KQ	ASTK
900110.KQ	East Asia Holdings Investment Limited
090470.KQ	Jastech, Ltd.
224110.KQ	ATEC T&
182400.KQ	ATGen
950110.KQ	SBI AXES Co., Ltd.
200780.KQ	BCWORLDPHARM
208710.KQ	BIOLOG DEVICE
217730.KQ	KANGSTEM BIOTECH
060900.KQ	L Energy CO., Ltd.
207760.KQ	Mr. Blue
008470.KQ	BOOSTER
206640.KQ	Boditech
